objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,version_publishers,version_languages,version_yearpublished,version_nickname
"7 Csoda: Kockajáték","446231","0","0","0","1","0","0","0","0","0","0","0","3","","17-6","","","","139906921","5.74766","6.46486","2.4286","5385","1594","thing","7 Wonders Dice","2","7","30","30","25","2025","2,3,4,5,6,7","3,4,5,6,7","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"7 Steps","161537","0","0","0","1","0","0","0","0","0","0","0","3","","19-4","","","","124480674","5.58793","6.14548","1.7619","9902","321","thing","7 Steps","2","4","30","30","30","2014","2,3","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","KOSMOS","German","2014","German edition"
"7 Wonders Duel","173346","0","0","0","1","0","0","0","0","0","0","0","3","","52-4","","","","53765941","7.95535","8.0807","2.2272","23","179938","thing","7 Wonders Duel","2","2","30","30","30","2015","2","2","10+","No necessary in-game text","","","","","","standalone","","Repos Production","English","2015","English edition 2015 R01"
"7 Wonders Duel: Pantheon","202976","0","0","0","1","0","0","0","0","0","0","0","3","","52-4","","","","54877862","7.62728","7.99786","2.3153","0","50278","thing","7 Wonders Duel: Pantheon","2","2","30","30","30","2016","2","2","10+","No necessary in-game text","","","","","","expansion","","Repos Production","German","2016","German edition"
"7 Wonders: Cities","111661","0","0","0","1","0","0","0","0","0","0","0","3","","62-5","","","","53696622","7.35755","7.79853","2.3457","0","31740","thing","7 Wonders: Cities","2","8","40","40","40","2012","3,4,5,6,7,8","4,5","10+","No necessary in-game text","","","","","","expansion","","Rebel Sp. z o.o.; Repos Production","English; Japanese; Polish; Spanish","2012","English/Japanese/Polish/Spanish edition 2012"
"80 Days","348503","0","0","0","1","0","0","0","0","0","0","0","3","","34-2","","","","103633644","5.59335","6.85177","2.0769","9568","394","thing","80 Days","2","4","75","75","45","2022","2,3,4","4","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; Hungarian; Polish; Slovak","2022","East European edition"
"A fehér várkastély: Párbaj","438936","0","0","0","1","0","0","0","0","0","0","0","3","","56-2","","","","137612908","5.88692","7.86885","2.875","3905","2115","thing","The White Castle Duel","2","2","40","40","20","2025","2","2","10+","No necessary in-game text","","","","","","standalone","","Reflexshop","Hungarian","2025","Hungarian edition"
"A Piramis Kincse","38196","0","0","0","1","0","0","0","0","0","0","0","3","","22-2","","","","63423232","5.48379","4.2957","1.3333","27888","128","thing","Relic Raiders: Treasure of the Lost Pyramid","2","4","20","20","20","2008","2,3,4","4","6+","No necessary in-game text","","","","","","standalone","","Basic Concepts","Hungarian","0","Hungarian edition"
"Abalone","526","0","0","0","1","0","0","0","0","0","0","0","3","","54-1","","","","53765253","6.22165","6.48869","2.1491","2121","14039","thing","Abalone","2","2","30","30","30","2003","2","2","8+","No necessary in-game text","","","","","","standalone","","Schmidt Spiele","French; German; Italian","2003","Schmidt edition 2003"
"Ábrándos bárányok","324242","0","0","0","1","0","0","0","0","0","0","0","3","","27-5","","","","114472755","5.9424","6.95334","1.7879","3491","2285","thing","Sheepy Time","1","4","45","45","30","2021","2,3,4","3,4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2021","Hungarian edition"
"Abszolút elfelejtett szavak","350267","0","0","0","1","0","0","0","0","0","0","0","3","","15-4","","","","93365742","0","6.54","0","0","44","thing","Abszolút elfelejtett szavak","3","8","20","0","20","2021","","","","Unplayable in another language","","","","","","standalone","","Pagony játék","Hungarian","2021","Hungarian edition"
"Abszolút képtelen sztorik","363678","0","0","0","1","0","0","0","0","0","0","0","3","","13-5","","","","96453687","0","6.66667","0","0","14","thing","Abszolút képtelen sztorik","3","6","60","60","60","2022","","","","Unplayable in another language","","","","","","standalone","","Pagony játék","Hungarian","2022","Hungarian Edition"
"Abszolút megvadult betűk","328484","0","0","0","1","0","0","0","0","0","0","0","3","","16-3","","","","93365728","5.52055","7.35946","2.5","18827","64","thing","Abszolút megvadult betűk","1","6","60","60","45","2020","1,2,3,4,5","3,4","8","Unplayable in another language","","","","","","standalone","","Pagony játék","Hungarian","2020","Hungarian edition"
"Abszolút szabad válaszok","457983","0","0","0","1","0","0","0","0","0","0","0","3","","09-3","","","","139826392","0","0","0","0","3","thing","Abszolút szabad válaszok","3","25","60","60","60","2024","","","","","","","","","","standalone","","Pagony játék","Hungarian","2024","Hungarian edition"
"Acélfenyves","407343","0","0","0","1","0","0","0","0","0","0","0","3","","51-4","","","","129863820","6.42912","7.87948","2.8571","1482","4410","thing","Ironwood","1","2","60","60","30","2025","1,2","2","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Reflexshop","Hungarian","2025","Hungarian edition"
"Acélmágnás","318084","0","0","0","1","0","0","0","0","0","0","0","3","","64-2","","","","96454330","7.08141","7.39098","2.3221","405","19439","thing","Furnace","2","4","60","60","30","2022","2,3,4","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Hobby World; Vagabund","Hungarian","2022","Hungarian edition"
"Achtung, frecher Frosch!","354871","0","0","0","1","0","0","0","0","0","0","0","3","","20-1","","","","99703910","0","7","0","0","16","thing","Achtung, frecher Frosch!","2","4","30","30","20","2013","","","","","","","","","","standalone","","Bookmark Verlag","German","2013","German edition"
"Activity","8790","0","0","0","1","0","0","0","0","0","0","0","3","","36-3","","","","53766643","5.60312","5.86284","1.1183","9065","2526","thing","Activity","3","16","45","45","45","1990","4,6,7,8,9,10,12","6,8","10+","Unplayable in another language","","","","","","standalone","","Piatnik","Hungarian","1990","Piatnik Hungarian edition"
"Activity Family Classic","190104","0","0","0","1","0","0","0","0","0","0","0","3","","36-3","","","","67647566","5.51579","5.973","1","20269","296","thing","Activity Family Classic","3","16","0","0","0","2014","","","","","","","","","","standalone","","Piatnik","Hungarian","2014","Hungarian edition"
"Activity Junior","42644","0","0","0","1","0","0","0","0","0","0","0","3","","24-2","","","","53477853","5.50713","5.67224","1","23073","375","thing","Activity Junior","2","12","30","30","30","1997","3,4,5,6,7,8,9,10,11,12","4,6,8,10","8–12","Unplayable in another language","22","","","2191","","standalone","","Piatnik","Hungarian","1997","Hungarian edition"
"Activity Pótkérdések I.","56688","0","0","0","1","0","0","0","0","0","0","0","3","","36-3","","","","93422269","0","5.6","2","0","44","thing","Activity Pótkérdések I.","3","16","30","30","30","1998","","","12+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","Piatnik","Hungarian","1998","Hungarian edition"
"Adel Verpflichtet","120","0","0","0","1","0","0","0","0","0","0","0","3","","58-4","","","","96766822","6.19862","6.5098","1.8623","2212","8901","thing","Hoity Toity","2","5","45","45","45","1990","4,5","5","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","F.X. Schmid","German","1990","F.X. Schmid German edition with SdJ"
"AdvenTourist","363401","0","0","0","1","0","0","0","0","0","0","0","3","","28-1
*","","","","105054904","0","4.7","1.8","0","28","thing","AdvenTourist","2","5","120","120","60","2022","2,3,4,5","3,4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Magyar Turisztikai Szövetség","Hungarian","2022","Hungarian edition"
"AdvenTourist: Természeti kincseink","364338","0","0","0","1","0","0","0","0","0","0","0","3","","28-1
*","","","","105054925","0","5.6","2.3333","0","28","thing","AdvenTourist: Természeti kincseink","2","5","120","120","60","2022","","","","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Magyar Turisztikai Szövetség","Hungarian","2022","Hungarian edition"
"Afrika Csillaga","5130","0","0","0","1","0","0","0","0","0","0","0","3","","32-4","","","","130746948","5.13554","4.71806","1.092","29849","2064","thing","Afrikan tähti","2","5","45","45","45","2015","2,3,4,5","4","5+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2015","Piatnik Hungarian edition"
"Afrikaland","264607","0","0","0","1","0","0","0","0","0","0","0","3","","24-3","","","","55936181","0","6.33333","1","0","16","thing","Afrikaland","2","5","30","30","30","2018","2,3,4,5","2,3,4","4–8","No necessary in-game text","","","","","","standalone","","(Self-Published)","Hungarian","2018","Hungarian edition"
"Age of Thieves","203740","0","0","0","1","0","0","0","0","0","0","0","3","","78-1","","","","68144730","5.72369","6.67206","2.5833","5750","1448","thing","Age of Thieves","2","4","120","120","60","2016","2,3,4","4","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Galakta","English","0","English edition"
"Agent Undercover 2","193308","0","0","0","1","0","0","0","0","0","0","0","3","","13-3","","","","55851790","6.25752","6.80338","1.2115","1968","7510","thing","Spyfall 2","3","12","15","15","15","2018","5,6,7,8,9,10,11,12","6,7,8","10+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2018","Hungarian edition"
"Agricola","31260","0","0","0","1","0","0","0","0","0","0","0","3","","84-3","","","","53477879","7.72808","7.85983","3.635","63","89463","thing","Agricola","1","5","150","150","30","2009","1,2,3,4,5","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2009","Compaya.hu Hungarian edition 2009"
"Agricola (Revised Edition)","200680","0","0","0","1","0","0","0","0","0","0","0","3","","84-3","","","","60887742","7.65046","7.95775","3.4429","83","28595","thing","Agricola (Revised Edition)","1","4","120","120","30","2016","1,2,3,4","3,4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2016","Hungarian edition"
"Ahau: Eclipse","363572","0","0","0","1","0","0","0","0","0","0","0","3","","82-1","","","","112529390","0","7.60526","0","0","310","thing","Ahau: Eclipse","1","5","180","180","90","2023","","","","","","","","","","expansion","","Apeiron Games; Grand Gamers Guild","English","2023","English edition"
"Ahau: Rulers of Yucatán","321140","0","0","0","1","0","0","0","0","0","0","0","3","","82-1","","","","112529377","5.62171","6.96407","3.6","8268","788","thing","Ahau: Rulers of Yucatán","1","5","120","120","90","2023","2,3,4,5","3","14–2","","","","","","","standalone","","Apeiron Games; Grand Gamers Guild","English","2023","English edition"
"Ahoy","20031","0","0","0","1","0","0","0","0","0","0","0","3","","21-2","","","","53477898","5.52652","5.94247","1.1111","17168","259","thing","Ahoy","2","5","30","30","30","2005","2,3,4","3","4+","No necessary in-game text","","","","","","standalone","","Cwali","Dutch; English; French; German","2005","Dutch/English/French/German edition"
"Airlines Europe","90419","0","0","0","1","0","0","0","0","0","0","0","3","","63-1","","","","53477920","6.86385","7.29594","2.4325","655","8378","thing","Airlines Europe","2","5","75","75","75","2011","3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","ABACUSSPIELE","German","2011","German first edition"
"Akropolisz","357563","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","100170911","7.03838","7.44935","1.7948","447","14043","thing","Akropolis","1","4","30","30","20","2022","2,3,4","3","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Akrotiri","154458","0","0","0","1","0","0","0","0","0","0","0","3","","55-2","","","","53766450","6.61025","7.15673","2.6345","1062","8196","thing","Akrotiri","2","2","45","45","45","2014","2","2","12+","No necessary in-game text","","","","","","standalone","","Filosofia Éditions","French","2014","French first edition"
"Álarcosbál","139030","0","0","0","1","0","0","0","0","0","0","0","3","","12-5","","","","55944856","6.33073","6.55122","1.5287","1747","17822","thing","Mascarade","2","13","30","30","30","2018","4,5,6,7,8,9,10,11","6,7,8","10+","No necessary in-game text","","","","","","standalone","","Repos Production","Hungarian","2018","Hungarian edition"
"Alba Longa","58886","0","0","0","1","0","0","0","0","0","0","0","3","","79-1","","","","53477935","5.59115","6.0983","3.027","9688","821","thing","Alba Longa","2","5","90","90","90","2011","3,4","4,5","10+","No necessary in-game text","","","","","","standalone","","HUCH!","German","2011","German first edition"
"Alhambra","6249","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53477954","6.90692","7.03476","2.0986","606","45175","thing","Alhambra","2","6","60","60","45","2003","2,3,4,5","3","8+","No necessary in-game text","","","","","","standalone","","Piatnik; Queen Games","Hungarian","2003","Piatnik Hungarian edition"
"Alhambra: A tolvajok órája – Hodina zlodějů – Hodina zlodejov","16494","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53477974","5.84984","7.00068","2.3151","0","2753","thing","Alhambra: The Thief's Turn","2","6","60","60","60","2005","2,3,4,5","3,4","12+","No necessary in-game text","","","","","","expansion","","Piatnik; Queen Games","Czech; Hungarian; Slovak","0","Piatnik Hungarian/Czech/Slovak edition"
"Alhambra: A Város kapui","13287","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53477989","6.00961","7.10201","2.2075","0","3498","thing","Alhambra: The City Gates","2","6","60","60","60","2005","2,3,4,5","3,4","12+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Queen Games","Hungarian","2005","Hungarian edition"
"Alhambra: A Vezír Kiváltsága – Vezírova přízeň – Vezírova priazeň","9687","0","0","0","1","0","0","0","0","0","0","0","3","","59-3","","","","53478010","6.05294","6.88193","2.1742","0","4783","thing","Alhambra: The Vizier's Favor","2","6","60","60","45","2004","2,3,4,5,6","3,4","12+","No necessary in-game text","","","","","","expansion","","Piatnik; Queen Games","Czech; Hungarian; Slovak","0","Piatnik Hungarian/Czech/Slovak edition"
"Ali Baba","3889","0","0","0","1","0","0","0","0","0","0","0","3","","II. ","","","","59813772","5.4751","5.22643","1","28535","429","thing","Ali Baba","2","4","30","30","30","2002","","","5","No necessary in-game text","","","","","","standalone","","Ravensburger","French; German; Italian","2002","Multilingual edition 2002"
"Alias","3818","0","0","0","1","0","0","0","0","0","0","0","3","","10-2
*","","","","53756586","5.62278","5.95622","1.2551","8223","2254","thing","Alias","4","12","60","60","60","1990","4,5,6,7,8,9","4,6,8","8+","Unplayable in another language","","","","","","standalone","","","","",""
"Alien Wars","175742","0","0","0","1","0","0","0","0","0","0","0","3","","04-2","","","","53918061","5.51402","5.73421","1.2","20861","403","thing","Alien Wars","2","6","10","10","10","2015","2,3,4,5,6","4,6","6+","No necessary in-game text","","","","","","standalone","","Superlude Éditions","German","0","German edition"
"Aljas 7-es","186302","0","0","0","1","0","0","0","0","0","0","0","3","","07-4
*","","","","62942969","5.72461","6.3828","1.0476","5739","2171","thing","Die Fiesen 7","2","6","25","25","15","2019","3,4,5,6","5","8+","No necessary in-game text","","","","","","standalone","","Reflexshop","Hungarian","2019","Hungarian edition"
"Alkonyat","393175","0","0","0","1","0","0","0","0","0","0","0","3","","64-3
*III","","","","137227973","5.89492","6.92978","2.2069","3845","3239","thing","Nocturne","1","4","45","45","30","2025","1,2,3,4","2","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Alderac Entertainment Group; Flatout Games; Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Állati Árverés","408938","0","0","0","1","0","0","0","0","0","0","0","3","","13-1","","","","122165275","0","8","0","0","4","thing","Állati Árverés","2","8","60","60","45","2020","","","","","","","","","","standalone","","(Self-Published)","Hungarian","2020","Hungarian edition"
"Állati fogások","393429","0","0","0","1","0","0","0","0","0","0","0","3","","70-2","","","","137586542","6.58626","7.84393","2.473","1118","6398","thing","Critter Kitchen","1","5","60","60","60","2025","1,2,3,4,5","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy; Gém Klub Kft.","Hungarian","2025","Hungarian edition"
"Állatok a fedélzeten","191572","0","0","0","1","0","0","0","0","0","0","0","3","","32-1","","","","124411307","6.00142","6.5227","1.5152","3123","3038","thing","Animals on Board","2","4","30","30","15","2016","3,4","3,4","8+","No necessary in-game text","","","","","","standalone","","Piatnik","Hungarian","2016","Hungarian edition"
"Allűr","233009","0","0","0","1","0","0","0","0","0","0","0","3","","15-3","","","","62943222","5.49955","5.85484","1","25220","85","thing","Quirky","3","0","0","0","0","2018","","","","","","","","","","standalone","","Reflexshop","Hungarian","2018","Hungarian edition"
"Almamérce","336360","0","0","0","1","0","0","0","0","0","0","0","3","","20-3","","","","115171474","0","5.97619","1","0","49","thing","Animeter","2","5","20","20","15","2023","2,3,4,5","2,3","5–10","","","","","","","standalone","","Compaya.hu: Gamer Café Kft.","Hungarian","2023","Hungarian edition"
"Álmodj Velem!","198454","0","0","0","1","0","0","0","0","0","0","0","3","","12-4","","","","58633455","6.50235","6.92899","1.1889","1301","11099","thing","When I Dream","4","10","40","40","20","2018","4,5,6,7,8,9,10","6","8+","Unplayable in another language","","","","","","standalone","","Gém Klub Kft.","Hungarian","2018","Hungarian edition"
"Álomház","194880","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","58633514","6.50659","6.85911","1.6548","1287","12043","thing","Dream Home","2","4","30","30","30","2017","2,3,4","3,4","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.; Rebel Sp. z o.o.","Hungarian","2017","Hungarian edition"
"Álomház: Napsugárút 156","232291","0","0","0","1","0","0","0","0","0","0","0","3","","29-4","","","","96451688","6.00424","7.25264","1.6875","0","3462","thing","Dream Home: 156 Sunny Street","1","6","30","30","30","2022","2,3,4,5,6","4,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","expansion","","Gém Klub Kft.","Hungarian","2022","Hungarian edition"
"Álomkert","312618","0","0","0","1","0","0","0","0","0","0","0","3","","29-3","","","","87477858","5.95805","6.67374","1.8542","3389","4000","thing","Flourish","1","7","60","60","20","2021","1,2,3,4,5,6,7","4","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2021","Hungarian edition"
"Alpino","394696","0","0","0","1","0","0","0","0","0","0","0","3","","28-2","","","","119275968","0","6.1","1.5","0","45","thing","Alpino","1","4","25","25","20","2024","1,2,3,4","2","6+","","","","","","","standalone","","Piatnik","Czech; French; German; Hungarian; Polish; Slovak","2024","Multilingual edition"
"Amazonas","125446","0","0","0","1","0","0","0","0","0","0","0","3","","24-1","","","","60746745","0","4.25","2","0","13","thing","Amazonas","2","4","90","90","90","0","2,3,4","2","6+","No necessary in-game text","","","","","","standalone","","(Unknown)","Hungarian","0","Hungarian edition"
"Amazónia","368305","0","0","0","1","0","0","0","0","0","0","0","3","","78-4","","","","120759749","6.94634","8.10742","2.8258","557","5995","thing","Life of the Amazonia","1","4","150","150","60","2024","1,2,3","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Amritsar: Az Aranytemplom","386502","0","0","0","1","0","0","0","0","0","0","0","3","","73-4","","","","118871536","6.08272","7.41583","3.3134","2696","2268","thing","Amritsar: The Golden Temple","1","4","120","120","60","2024","1,2,3,4","3","14","No necessary in-game text","","","","","","standalone","","Vagabund","Hungarian","2024","Hungarian edition"
"Anachrony","185343","0","0","0","1","0","0","0","0","0","0","0","3","","81-4","","","","59557834","7.73481","8.04519","4.0026","60","26658","thing","Anachrony","1","4","120","120","30","2017","1,2,3,4","3","14+","No necessary in-game text","","","","","","standalone","","Mindclash Games","English; German","2017","English/German-only edition"
"Anachrony: Exosuit Commander Pack","218791","0","0","0","1","0","0","0","0","0","0","0","3","","81-4","","","","74524286","6.8415","8.53415","3.6667","0","8438","thing","Anachrony: Exosuit Commander Pack","1","4","120","120","60","2017","2,3,4","3","12+","No necessary in-game text","","","","","","expansion","","Mindclash Games","English","2017","English edition"
"Anachrony: Fractures of Time","272077","0","0","0","1","0","0","0","0","0","0","0","3","","81-4","","","","117662878","6.60751","8.83356","4.506","0","6900","thing","Anachrony: Fractures of Time","1","4","150","150","90","2020","1,2,3,4","3","16+","No necessary in-game text","","","","","","expansion","","Mindclash Games","English","2020","English edition"
"Anarchista palacsinta","390151","0","0","0","1","0","0","0","0","0","0","0","3","","07-3","","","","137114271","5.49792","5.56632","1","25623","1361","thing","Anarchy Pancakes","2","6","5","5","5","2024","2,3,4,5,6","3,4","5+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Andor legendái","127398","0","0","0","1","0","0","0","0","0","0","0","3","","62-5","","","","53478095","6.85855","7.08621","2.7659","664","36993","thing","Legends of Andor","2","4","90","90","60","2012","1,2,3,4","4","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","Piatnik","Hungarian","2012","Hungarian edition"
"Androméda","358661","0","0","0","1","0","0","0","0","0","0","0","3","","82-4","","","","129937730","7.36213","8.28618","3.7133","203","9555","thing","Andromeda's Edge","2","4","160","160","80","2024","1,2,3,4","3","14+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","Cardboard Alchemy; Gém Klub Kft.","Hungarian","2024","Hungarian edition"
"Ankh'or: A Nílus-völgy kalmárjai","271530","0","0","0","1","0","0","0","0","0","0","0","3","","33-1","","","","69088929","6.00431","6.87843","1.7692","3104","3425","thing","Ankh'or","2","4","30","30","30","2019","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","Gém Klub Kft.","Hungarian","2019","Hungarian edition"
"Anti-Monopoly","1931","0","0","0","1","0","0","0","0","0","0","0","3","","36-1","","","","53478137","5.03034","3.69691","1.6585","29863","2693","thing","Anti-Monopoly","2","6","120","120","120","1973","3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","",""
"Antigua","85338","0","0","0","1","0","0","0","0","0","0","0","3","","04-2","","","","53478148","5.51278","5.73724","1.7778","21242","344","thing","Antigua","2","4","35","35","35","2010","3,4","4","8+","No necessary in-game text","","","","","","standalone","","Adlung-Spiele","English; French; German; Spanish","2010","English/French/German/Spanish edition"
"Ape Town","412123","0","0","0","1","0","0","0","0","0","0","0","3","","71-1","","","","132069714","5.5743","7.15972","2.3333","10800","151","thing","Ape Town","2","4","60","60","45","2025","2,3,4","3","10+","No necessary in-game text","","","","","","standalone","","Piatnik","Czech; French; Hungarian; Slovak","2025","Multilingual edition"
